feature_type,egemaps_backend,call_id,label,total_call_ms,first_alert_ms,peak_seg_ms,n_segments,final_S,tau,alpha
egemaps,,vishing_234,1,0.494635,0.260417,0.14349,7,0.9962317633619249,0.3,0.3
egemaps,,vishing_168,1,0.55125,0.318593,0.147864,7,0.9997813,0.3,0.3
egemaps,,vishing_479,1,0.599271,0.411146,0.137969,7,0.7964312680242649,0.3,0.3
egemaps,,vishing_228,1,0.389583,0.271406,0.131667,4,0.9918999999999999,0.3,0.3
egemaps,,vishing_248,1,0.584948,0.206614,0.131875,11,0.9999959610225779,0.3,0.3
egemaps,,vishing_445,1,1.660938,0.691303,0.489323,28,0.9999950845721948,0.3,0.3
egemaps,,vishing_178,1,1.824843,1.072187,0.187031,22,0.9999999999360281,0.3,0.3
egemaps,,vishing_679,1,0.744948,0.363542,0.146094,11,0.9999768605165251,0.3,0.3
egemaps,,vishing_601,1,1.677656,0.447083,0.170208,34,0.999999999116628,0.3,0.3
egemaps,,vishing_211,1,0.9775,0.730417,0.185886,7,0.9997813,0.3,0.3
egemaps,,vishing_453,1,5.359688,1.5375,1.224948,108,0.999998571440673,0.3,0.3
egemaps,,vishing_432,1,4.218646,3.102396,0.581563,30,0.9999999999802718,0.3,0.3
egemaps,,vishing_88,1,1.291823,0.651354,0.186615,18,0.9997709252793946,0.3,0.3
egemaps,,vishing_255,1,0.763229,0.414375,0.143021,10,0.9591858915091508,0.3,0.3
egemaps,,vishing_434,1,0.474791,0.233698,0.144115,7,0.9995396045899867,0.3,0.3
egemaps,,vishing_208,1,0.656042,0.266198,0.138333,11,0.9723420656860555,0.3,0.3
egemaps,,vishing_615,1,1.383542,0.329844,0.153386,29,0.9999998942932216,0.3,0.3
egemaps,,vishing_393,1,1.455677,0.515729,0.1625,26,0.999241280733274,0.3,0.3
egemaps,,vishing_375,1,2.040833,0.908385,0.461614,33,0.955610936508289,0.3,0.3
egemaps,,vishing_542,1,1.014479,0.934688,0.128021,3,0.9722393016815185,0.3,0.3
egemaps,,vishing_112,1,0.641458,0.219687,0.144323,12,0.9999994685589999,0.3,0.3
egemaps,,vishing_602,1,2.996979,1.483333,1.144062,41,0.9999999498655703,0.3,0.3
egemaps,,vishing_118,1,1.700052,1.159063,0.170365,15,0.9999534329005535,0.3,0.3
egemaps,,vishing_82,1,0.525365,0.323125,0.135781,6,0.9992689392852783,0.3,0.3
egemaps,,vishing_217,1,0.664323,0.248177,0.162031,12,0.9999994685589999,0.3,0.3
egemaps,,vishing_226,1,0.635052,0.356927,0.142135,7,0.9997810583174824,0.3,0.3
egemaps,,vishing_417,1,0.992291,0.379687,0.195573,17,0.9999999929722456,0.3,0.3
egemaps,,vishing_520,1,5.05901,1.893594,1.216146,90,0.9999999999999999,0.3,0.3
egemaps,,vishing_338,1,5.375521,4.058906,1.202604,38,0.999987036372001,0.3,0.3
egemaps,,vishing_575,1,3.501771,2.116094,0.560938,40,0.9999999999462543,0.3,0.3
egemaps,,vishing_600,1,1.18625,1.142188,0.126354,2,0.9099999999999999,0.3,0.3
egemaps,,vishing_446,1,0.776563,0.175417,0.132865,17,0.9999990280806548,0.3,0.3
egemaps,,vishing_444,1,0.61625,0.299739,0.142187,9,0.9999803169999999,0.3,0.3
egemaps,,vishing_597,1,5.173437,1.526562,1.207448,104,0.999999893895173,0.3,0.3
egemaps,,vishing_368,1,12.628907,4.91474,1.25849,222,0.9999999977464987,0.3,0.3
egemaps,,vishing_360,1,9.296198,8.22323,1.182709,31,0.9999999999999999,0.3,0.3
egemaps,,vishing_173,1,1.909062,1.422239,0.23625,14,0.9997767460958124,0.3,0.3
egemaps,,vishing_671,1,0.404948,0.317604,0.145312,3,0.9729999999999999,0.3,0.3
egemaps,,vishing_53,1,0.230938,0.18625,0.118281,2,0.9099999999999999,0.3,0.3
egemaps,,vishing_653,1,5.942604,1.341563,1.198282,131,0.9999999999999999,0.3,0.3
egemaps,,vishing_242,1,4.131041,3.900104,0.195521,7,0.9996850963993429,0.3,0.3
egemaps,,vishing_86,1,0.427813,0.262761,0.139219,5,0.9975534973108767,0.3,0.3
egemaps,,vishing_192,1,0.521406,0.263906,0.140468,7,0.9997801917696116,0.3,0.3
