feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.3,0.5,0.9857142857142858,0.9928057553956835,0.9787234042553191,0.9859154929577465,0.006993006993006993,138,142,1,3,138,141,1.0,6.986144927536231,7.4275,12.002900000000002
egemaps,running_max,,0.9,0.971830985915493,0.965034965034965,0.9787234042553191,0.971830985915493,0.03496503496503497,138,138,5,3,138,141,1.0,7.138565217391305,7.51,12.452600000000002
egemaps,any_segment_baseline (τ=0.5),,0.5,0.9621993127147767,0.9333333333333333,0.9929078014184397,0.9612676056338029,0.06993006993006994,140,133,10,1,140,141,0.9928571428571429,7.090199999999999,7.4275,11.954299999999991
egemaps,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.9894366197183099,0.0,138,143,0,3,138,141,0.0,270.612036231884,85.43299999999999,941.5865000000022
mfcc,ema,0.3,0.3,0.9790209790209791,0.9655172413793104,0.9929078014184397,0.9788732394366197,0.03496503496503497,140,138,5,1,140,141,1.0,7.112628571428573,7.4275,12.428199999999997
mfcc,running_max,,0.9,0.9788732394366197,0.972027972027972,0.9858156028368794,0.9788732394366197,0.027972027972027972,139,139,4,2,139,141,0.9928057553956835,7.240028776978416,7.47,11.978599999999997
mfcc,any_segment_baseline (τ=0.5),,0.5,0.958904109589041,0.9271523178807947,0.9929078014184397,0.9577464788732394,0.07692307692307693,140,132,11,1,140,141,0.9928571428571429,7.2302357142857145,7.4275,12.428199999999997
mfcc,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.9894366197183099,0.0,138,143,0,3,138,141,0.0,270.37399275362316,85.43299999999999,941.5865000000022
wav2vec2,ema,0.7,0.5,0.9427609427609428,0.8974358974358975,0.9929078014184397,0.9401408450704225,0.11188811188811189,140,127,16,1,140,141,0.9428571428571428,19.286671428571427,19.08,29.515799999999956
wav2vec2,running_max,,0.9,0.8641975308641975,0.7650273224043715,0.9929078014184397,0.8450704225352113,0.3006993006993007,140,100,43,1,140,141,0.9785714285714285,10.253685714285714,8.635,24.177749999999993
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.6997518610421837,0.5381679389312977,1.0,0.573943661971831,0.8461538461538461,141,22,121,0,141,141,1.0,7.4414326241134745,7.64,13.705
wav2vec2,majority_vote (τ=0.5),,0.5,0.9724137931034482,0.9463087248322147,1.0,0.971830985915493,0.055944055944055944,141,135,8,0,141,141,0.0,265.6112127659574,79.53,886.34
all,ema,0.3,0.3,0.9964664310954063,0.9929577464788732,1.0,0.9964788732394366,0.006993006993006993,141,142,1,0,141,141,0.9929078014184397,7.166723404255319,7.47,12.416
all,running_max,,0.5,0.9825783972125436,0.9657534246575342,1.0,0.9823943661971831,0.03496503496503497,141,138,5,0,141,141,0.9929078014184397,7.166723404255319,7.47,12.416
all,any_segment_baseline (τ=0.5),,0.5,0.9825783972125436,0.9657534246575342,1.0,0.9823943661971831,0.03496503496503497,141,138,5,0,141,141,0.9929078014184397,7.166723404255319,7.47,12.416
all,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.9964788732394366,0.0,140,143,0,1,140,141,0.0,267.2659357142857,81.43,904.7554999999937
