feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.7,0.5,0.9708029197080292,1.0,0.9432624113475178,0.9717314487632509,0.0,133,142,0,8,133,141,0.9624060150375939,15.564533834586467,15.479,24.251999999999995
egemaps,running_max,,0.9,0.9540636042402827,0.9507042253521126,0.9574468085106383,0.9540636042402827,0.04929577464788732,135,135,7,6,135,141,0.9925925925925926,7.927222222222223,7.94,14.404499999999997
egemaps,any_segment_baseline (τ=0.5),,0.5,0.9480968858131488,0.9256756756756757,0.9716312056737588,0.9469964664310954,0.07746478873239436,137,131,11,4,137,141,0.9927007299270073,7.690956204379562,7.76,13.7092
egemaps,majority_vote (τ=0.5),,0.5,0.9745454545454545,1.0,0.950354609929078,0.9752650176678446,0.0,134,142,0,7,134,141,0.0,233.15347014925374,74.67,695.8079999999997
mfcc,ema,0.5,0.3,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.9823321554770318,0.028169014084507043,140,138,4,1,140,141,0.9928571428571429,7.453528571428572,7.725,13.405949999999995
mfcc,running_max,,0.9,0.975609756097561,0.958904109589041,0.9929078014184397,0.9752650176678446,0.04225352112676056,140,136,6,1,140,141,0.9928571428571429,7.698421428571429,7.725,13.729499999999994
mfcc,any_segment_baseline (τ=0.5),,0.5,0.9431438127090301,0.8924050632911392,1.0,0.9399293286219081,0.11971830985915492,141,125,17,0,141,141,0.9929078014184397,7.844035460992908,7.74,13.709
mfcc,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.9964664310954063,0.0,140,142,0,1,140,141,0.0,226.54889285714282,73.755,676.1039999999989
wav2vec2,ema,0.5,0.7,0.929368029739777,0.9765625,0.8865248226950354,0.9328621908127208,0.02112676056338028,125,139,3,16,125,141,0.952,18.396728,17.11,31.692
wav2vec2,running_max,,0.9,0.8553459119496856,0.768361581920904,0.9645390070921985,0.8374558303886925,0.2887323943661972,136,101,41,5,136,141,0.9779411764705882,11.218698529411764,9.3195,26.15725
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7175572519083969,0.5595238095238095,1.0,0.607773851590106,0.7816901408450704,141,31,111,0,141,141,0.9858156028368794,7.9682695035461,7.785,15.115
wav2vec2,majority_vote (τ=0.5),,0.5,0.9652777777777778,0.9455782312925171,0.9858156028368794,0.9646643109540636,0.056338028169014086,139,134,8,2,139,141,0.0,228.44241007194245,73.93,679.3879999999997
all,ema,0.3,0.3,0.9823321554770318,0.9788732394366197,0.9858156028368794,0.9823321554770318,0.02112676056338028,139,139,3,2,139,141,0.9856115107913669,7.5530503597122305,7.74,13.421899999999999
all,running_max,,0.9,0.9752650176678446,0.971830985915493,0.9787234042553191,0.9752650176678446,0.028169014084507043,138,138,4,3,138,141,0.9927536231884058,7.356550724637681,7.725,12.947150000000002
all,any_segment_baseline (τ=0.5),,0.5,0.9655172413793104,0.9395973154362416,0.9929078014184397,0.9646643109540636,0.06338028169014084,140,133,9,1,140,141,0.9857142857142858,7.945635714285715,7.75,13.70905
all,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.9893992932862191,0.0,138,142,0,3,138,141,0.0,228.9902536231884,73.755,682.6720000000004
