feature_type,method,n_folds,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,mean_alert_latency_mean,mean_alert_latency_std,median_alert_latency_mean,median_alert_latency_std
egemaps,ema,5,0.9820404425988497,0.01029009890149132,0.9928261646002348,0.008811232366602218,0.9716511836979322,0.01810126406808738,0.007032404215502807,0.008624992001610191,8.865056443132477,3.7540060162204147,9.274000000000001,3.477714173850404
egemaps,running_max,5,0.9645459888819106,0.008813431817722324,0.9485334591677346,0.020247842684585023,0.9815702727000299,0.016336158145314833,0.05347188023244361,0.02319211898188467,7.4993941206701615,0.4842532725612026,7.828,0.3079131371020081
egemaps,any_segment_baseline (τ=0.5),5,0.9479751955285176,0.010142258549987293,0.9084682983309974,0.02187858004065128,0.9914993507142144,0.01165521251952363,0.09990150694376046,0.027135833525218506,7.870642588393642,1.4345474873624882,7.7429,0.2871903549912498
egemaps,majority_vote (τ=0.5),5,0.9877299874182724,0.009510005015906976,1.0,0.0,0.9758965138347817,0.018505692965784068,0.0,0.0,251.52421045645283,21.968321374990495,90.65859999999999,11.893949819130732
mfcc,ema,5,0.9824998439351238,0.004207695127641392,0.9723261206878071,0.008280304931241047,0.9929177904305264,2.2336110053947337e-05,0.028119767556387277,0.00857526161386671,7.851641529888552,0.9453758578766862,7.8229,0.2764114686477387
mfcc,running_max,5,0.9758621590723962,0.013725809080935103,0.9571252067602655,0.0271562347198961,0.9957446808510638,0.006343455255318562,0.04503102531271545,0.03056185733243683,7.758376515987604,0.9645547775209259,7.7235,0.24781293348007505
mfcc,any_segment_baseline (τ=0.5),5,0.9553466011774528,0.008331185945453136,0.9158277334443846,0.01610033592958957,0.9985815602836879,0.003171727627659281,0.0914409534127844,0.019386169610114818,7.733871695848852,0.9945406906651306,7.718,0.25938268060917263
mfcc,majority_vote (τ=0.5),5,0.9928819178010461,0.005034206464973345,0.9972027972027973,0.006254735601398,0.9886624712815902,0.009520791473630524,0.0028169014084507044,0.006298783035210675,249.374691337386,22.960579510749273,90.5206,12.604597546133714
wav2vec2,ema,5,0.9427647713196862,0.018933780972055742,0.940944957804198,0.04035803680970851,0.947547697532714,0.049820647160780954,0.06181424209593224,0.0463397975748051,19.268847498395793,1.1552492754840098,18.6939,1.2384429942472124
wav2vec2,running_max,5,0.8521840542755976,0.015035006933826518,0.7509148887863736,0.025790225509830688,0.9858255918489661,0.012291275410064296,0.3263370432384517,0.04946112751992623,10.989280439010136,0.7025714653819717,8.9487,0.26488101102193046
wav2vec2,any_segment_baseline (τ=0.5),5,0.7125696450824228,0.01121404510501648,0.5535761526137389,0.013498473612993287,1.0,0.0,0.8016251354279523,0.04408116398516191,7.776952622115672,0.29319222958853247,7.8922,0.3176912022703805
wav2vec2,majority_vote (τ=0.5),5,0.9765201073770665,0.01310823419490618,0.9582554902283233,0.02387946072767569,0.9957446808510638,0.006343455255318562,0.043583177385994286,0.025537542035600602,248.72076590039958,22.15929139146043,89.541,13.52851081974657
all,ema,5,0.9908322455473687,0.005344698306250936,0.9873913867159917,0.007578061995388934,0.9943262411347518,0.005933759053433169,0.012666207032404215,0.007723419530591029,7.650497972109405,0.971452823972397,7.7363,0.25973823361222736
all,running_max,5,0.9711154391980916,0.01308683705418703,0.9493845925441567,0.02716160704169152,0.9943362301468385,0.0092452070878711,0.05347188023244361,0.030974468961458956,7.603080357693494,0.9651019018253751,7.7228,0.2580827386711478
all,any_segment_baseline (τ=0.5),5,0.9632467442031302,0.012235520960674156,0.9305686886937664,0.023380920824870748,0.9985815602836879,0.003171727627659281,0.0745986407958239,0.026721753370347597,7.713649308474964,0.9676910350493924,7.7342,0.26298136816132045
all,majority_vote (τ=0.5),5,0.9950024333838593,0.0040900164978664435,1.0,0.0,0.9900809109979023,0.00809076064999679,0.0,0.0,249.0609911712348,21.60691777707188,89.555,13.10958904771618
