feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.3,0.3,0.9714285714285714,0.9784172661870504,0.9645390070921985,0.9717314487632509,0.02112676056338028,136,139,3,5,136,141,1.0,7.607183823529412,8.077,11.962499999999999
egemaps,running_max,,0.9,0.971830985915493,0.965034965034965,0.9787234042553191,0.9717314487632509,0.035211267605633804,138,137,5,3,138,141,1.0,8.090275362318842,8.266,14.59860000000001
egemaps,any_segment_baseline (τ=0.5),,0.5,0.9527027027027027,0.9096774193548387,1.0,0.950530035335689,0.09859154929577464,141,128,14,0,141,141,1.0,10.387950354609929,8.147,13.35
egemaps,majority_vote (τ=0.5),,0.5,0.9819494584837545,1.0,0.9645390070921985,0.9823321554770318,0.0,136,142,0,5,136,141,0.0,261.9931544117647,92.015,1071.419
mfcc,ema,0.5,0.3,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.9823321554770318,0.028169014084507043,140,138,4,1,140,141,0.9928571428571429,9.368357142857144,8.077,11.82195
mfcc,running_max,,0.5,0.9527027027027027,0.9096774193548387,1.0,0.950530035335689,0.09859154929577464,141,128,14,0,141,141,0.9929078014184397,9.417695035460994,8.08,11.859
mfcc,any_segment_baseline (τ=0.5),,0.5,0.9527027027027027,0.9096774193548387,1.0,0.950530035335689,0.09859154929577464,141,128,14,0,141,141,0.9929078014184397,9.417695035460994,8.08,11.859
mfcc,majority_vote (τ=0.5),,0.5,0.989247311827957,1.0,0.9787234042553191,0.9893992932862191,0.0,138,142,0,3,138,141,0.0,258.4631739130435,91.025,1063.9154000000005
wav2vec2,ema,0.7,0.5,0.9752650176678446,0.971830985915493,0.9787234042553191,0.9752650176678446,0.028169014084507043,138,138,4,3,138,141,0.9637681159420289,21.036333333333335,19.4495,37.27125000000001
wav2vec2,running_max,,0.9,0.8660436137071651,0.7722222222222223,0.9858156028368794,0.8480565371024735,0.2887323943661972,139,101,41,2,139,141,0.9856115107913669,11.488179856115108,8.999,31.07
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7212276214833759,0.564,1.0,0.6148409893992933,0.7676056338028169,141,33,109,0,141,141,1.0,8.13313475177305,8.434,15.785
wav2vec2,majority_vote (τ=0.5),,0.5,0.9964664310954063,0.9929577464788732,1.0,0.9964664310954063,0.007042253521126761,141,141,1,0,141,141,0.0,257.88051773049636,91.85,1052.66
all,ema,0.3,0.3,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929328621908127,0.007042253521126761,140,141,1,1,140,141,1.0,9.34377142857143,8.077,11.866049999999998
all,running_max,,0.7,0.9791666666666666,0.9591836734693877,1.0,0.9787985865724381,0.04225352112676056,141,136,6,0,141,141,1.0,9.302425531914896,8.074,11.859
all,any_segment_baseline (τ=0.5),,0.5,0.9591836734693877,0.9215686274509803,1.0,0.9575971731448764,0.08450704225352113,141,130,12,0,141,141,1.0,9.302425531914896,8.074,11.859
all,majority_vote (τ=0.5),,0.5,0.9928571428571429,1.0,0.9858156028368794,0.9929328621908127,0.0,139,142,0,2,139,141,0.0,257.5775395683453,90.2,1060.1635999999996
