feature_type,call_id,label,total_call_ms,first_alert_ms,peak_seg_ms,n_segments,final_S,tau,alpha
egemaps,vishing_168,1,790.929567,80.653393,160.721728,7,0.9997813,0.3,0.3
egemaps,vishing_479,1,729.380428,188.736429,130.592538,7,0.7964317169277251,0.3,0.3
egemaps,vishing_228,1,327.34359,94.11957,94.105092,4,0.9918999999999999,0.3,0.3
egemaps,vishing_248,1,837.462419,107.248653,144.582799,11,0.9999959610225779,0.3,0.3
egemaps,vishing_445,1,3025.571307,85.814978,136.542975,28,0.9999950845721948,0.3,0.3
egemaps,vishing_178,1,1558.326051,106.821733,138.207663,22,0.9999999999360281,0.3,0.3
egemaps,vishing_679,1,1151.089317,98.518074,132.222672,11,0.9999768605165251,0.3,0.3
egemaps,vishing_601,1,2512.247031,111.411283,139.701955,34,0.999999999116628,0.3,0.3
egemaps,vishing_211,1,764.901719,108.88539,152.514352,7,0.9997813,0.3,0.3
egemaps,vishing_453,1,8034.127383,36.233978,140.977429,108,0.999998571440673,0.3,0.3
egemaps,vishing_432,1,2111.069038,58.919525,165.684914,30,0.9999999999802718,0.3,0.3
egemaps,vishing_88,1,1326.002824,81.122596,129.697706,18,0.9997709252793946,0.3,0.3
egemaps,vishing_255,1,675.401398,83.768912,131.303415,10,0.9591858913319593,0.3,0.3
egemaps,vishing_434,1,680.397035,132.610745,132.594875,7,0.9995396045899867,0.3,0.3
egemaps,vishing_208,1,962.163846,105.283158,141.978818,11,0.9723420281351294,0.3,0.3
egemaps,vishing_615,1,2001.329101,48.807278,155.823894,29,0.9999998942932216,0.3,0.3
egemaps,vishing_393,1,1956.736462,40.887894,160.608399,26,0.9992412807317907,0.3,0.3
egemaps,vishing_375,1,2885.014498,150.996142,170.846132,33,0.955611058987607,0.3,0.3
egemaps,vishing_542,1,282.805183,140.961976,140.951631,3,0.9722393016815185,0.3,0.3
egemaps,vishing_112,1,1294.561383,91.002117,158.287815,12,0.9999994685589999,0.3,0.3
egemaps,vishing_602,1,3092.187177,61.656947,160.441678,41,0.9999999498655703,0.3,0.3
egemaps,vishing_118,1,1093.568325,103.957652,129.980049,15,0.999953432961386,0.3,0.3
egemaps,vishing_82,1,351.149589,38.867652,114.070301,6,0.9992689392852783,0.3,0.3
egemaps,vishing_217,1,1238.20282,75.866362,135.324362,12,0.9999994685589999,0.3,0.3
egemaps,vishing_226,1,839.688597,125.195608,135.417244,7,0.9997810583174824,0.3,0.3
egemaps,vishing_417,1,2203.758428,115.938443,199.081866,17,0.9999999929722456,0.3,0.3
egemaps,vishing_520,1,9136.282647,165.859483,220.588724,90,0.9999999999999999,0.3,0.3
egemaps,vishing_338,1,3645.504303,43.526675,131.959827,38,0.9999870363829508,0.3,0.3
egemaps,vishing_575,1,3756.536853,29.568211,138.962732,40,0.9999999999462543,0.3,0.3
egemaps,vishing_600,1,176.059381,103.295543,103.241217,2,0.9099999999999999,0.3,0.3
egemaps,vishing_446,1,1090.614005,40.644598,141.055479,17,0.9999990280806548,0.3,0.3
egemaps,vishing_444,1,877.686068,83.020974,149.912162,9,0.9999803169999999,0.3,0.3
egemaps,vishing_597,1,9683.257002,94.234673,182.268707,104,0.999999893895173,0.3,0.3
egemaps,vishing_368,1,18302.716047,50.067857,176.103231,222,0.9999999977464987,0.3,0.3
egemaps,vishing_360,1,3009.20885,81.466017,164.927978,31,0.9999999999999999,0.3,0.3
egemaps,vishing_173,1,885.676914,121.588182,121.539035,14,0.9997767462985563,0.3,0.3
egemaps,vishing_671,1,309.381748,92.140749,109.470164,3,0.9729999999999999,0.3,0.3
egemaps,vishing_53,1,295.369575,120.700462,174.572011,2,0.9099999999999999,0.3,0.3
egemaps,vishing_653,1,11699.231208,73.158016,180.267163,131,0.9999999999999999,0.3,0.3
egemaps,vishing_242,1,615.473525,64.876677,132.134758,7,0.9996850963993429,0.3,0.3
egemaps,vishing_86,1,609.277496,118.678081,132.779522,5,0.9975534973108767,0.3,0.3
egemaps,vishing_192,1,759.340862,84.057043,144.821317,7,0.9997801917696116,0.3,0.3
