feature_type,method,alpha,tau,f1,precision,recall,accuracy,fpr,tp,tn,fp,fn,n_alerted_tp,n_vishing,frac_alerted_before_end,mean_alert_latency,median_alert_latency,p95_alert_latency
egemaps,ema,0.5,0.3,0.9928571428571429,1.0,0.9858156028368794,0.9929328621908127,0.0,139,142,0,2,139,141,0.9856115107913669,6.96474820143885,7.559,12.060999999999996
egemaps,running_max,,0.7,0.9559322033898305,0.9155844155844156,1.0,0.9540636042402827,0.09154929577464789,141,129,13,0,141,141,0.9858156028368794,6.998368794326241,7.559,12.02
egemaps,any_segment_baseline (τ=0.5),,0.5,0.9368770764119602,0.88125,1.0,0.9328621908127208,0.13380281690140844,141,123,19,0,141,141,0.9858156028368794,6.948723404255319,7.515,12.02
egemaps,majority_vote (τ=0.5),,0.5,0.99644128113879,1.0,0.9929078014184397,0.9964664310954063,0.0,140,142,0,1,140,141,0.0,268.91420000000005,107.065,1130.789999999996
mfcc,ema,0.7,0.3,0.9893992932862191,0.9859154929577465,0.9929078014184397,0.9893992932862191,0.014084507042253521,140,140,2,1,140,141,0.9928571428571429,8.160764285714286,8.094999999999999,15.086749999999991
mfcc,running_max,,0.9,0.986013986013986,0.9724137931034482,1.0,0.9858657243816255,0.028169014084507043,141,138,4,0,141,141,0.9858156028368794,6.981702127659575,7.515,12.11
mfcc,any_segment_baseline (τ=0.5),,0.5,0.9657534246575342,0.9337748344370861,1.0,0.9646643109540636,0.07042253521126761,141,132,10,0,141,141,0.9858156028368794,6.981702127659575,7.515,12.11
mfcc,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,1.0,0.0,141,142,0,0,141,141,0.0,268.5230354609929,108.28,1119.16
wav2vec2,ema,0.5,0.7,0.9304029304029304,0.9621212121212122,0.900709219858156,0.9328621908127208,0.035211267605633804,127,137,5,14,127,141,0.968503937007874,18.092346456692916,17.73,32.291799999999995
wav2vec2,running_max,,0.9,0.8459214501510574,0.7368421052631579,0.9929078014184397,0.8197879858657244,0.352112676056338,140,92,50,1,140,141,0.9714285714285714,11.74517142857143,9.030000000000001,30.8923
wav2vec2,any_segment_baseline (τ=0.5),,0.5,0.7230769230769231,0.5662650602409639,1.0,0.6183745583038869,0.7605633802816901,141,34,108,0,141,141,0.9787234042553191,7.821524822695036,7.705,16.64
wav2vec2,majority_vote (τ=0.5),,0.5,0.9824561403508771,0.9722222222222222,0.9929078014184397,0.9823321554770318,0.028169014084507043,140,138,4,1,140,141,0.0,269.9914142857143,108.65,1130.789999999996
all,ema,0.3,0.3,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929328621908127,0.007042253521126761,140,141,1,1,140,141,0.9857142857142858,6.943071428571429,7.4975000000000005,12.040499999999993
all,running_max,,0.5,0.9494949494949495,0.9038461538461539,1.0,0.9469964664310954,0.1056338028169014,141,127,15,0,141,141,0.9858156028368794,6.90758865248227,7.48,12.02
all,any_segment_baseline (τ=0.5),,0.5,0.9494949494949495,0.9038461538461539,1.0,0.9469964664310954,0.1056338028169014,141,127,15,0,141,141,0.9858156028368794,6.90758865248227,7.48,12.02
all,majority_vote (τ=0.5),,0.5,1.0,1.0,1.0,1.0,0.0,141,142,0,0,141,141,0.0,268.5230354609929,108.28,1119.16
