,F1_score,Precision,Recall,Accuracy,Training time
Att-Based CNN-BiLSTM,0.9965775362556706,0.9966019345127204,0.9965870307167235,0.9965870307167235,131.4635922908783
CNN-BiLSTM,0.9684381775781293,0.9704497343068216,0.9692832764505119,0.9692832764505119,63.70116448402405
1D_CNN,0.9796322139468385,0.9798692964847454,0.9795221843003413,0.9795221843003413,14.579020500183105
LSTM,0.8650885814226842,0.8765866723997383,0.8771331058020477,0.8771331058020477,104.32784342765808
BiLSTM,0.9408157974149841,0.9497698054376955,0.9385665529010239,0.9385665529010239,223.50238060951233
